ID;Jugador;MJ;PJ;%PJ;PC;%PC;PT;%PT;PS;%PS;TA;TR;SA;G;PR;GPP;GE
abdessamad-ezzalzouli;Abde Ezzalzouli;640;9;100.00;1;11.11;7;77.78;6;66.67;1;0;0;1;1;0;6
abderrahman-rebbach;Abde Rebbach;203;4;44.44;1;25.00;2;22.22;1;11.11;1;0;0;0;0;0;5
abqar;Abdel Abqar;681;9;100.00;5;55.56;9;100.00;4;44.44;4;0;0;0;1;0;13
abdoulaye-keita;Abdoulaye Keita;27;1;11.11;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
abdul-mumin;Abdul Mumin;810;9;100.00;9;100.00;9;100.00;0;0.00;3;0;0;1;0;0;9
abdon;Abdón Prats;134;6;66.67;0;0.00;1;11.11;1;11.11;2;0;0;1;0;0;1
abel-bretones;Abel Bretones;612;8;88.89;5;62.50;7;77.78;2;22.22;1;0;0;2;0;0;9
abel-ruiz;Abel Ruiz;663;9;100.00;1;11.11;9;100.00;8;88.89;2;0;0;2;0;0;10
aboubacar-bassinga;Aboubacar Bassinga;3;1;11.11;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adama-boiro;Adama Boiro;222;3;33.33;0;0.00;3;33.33;3;33.33;0;0;0;0;0;0;2
januzaj;Adnan Januzaj;190;4;44.44;1;25.00;2;22.22;1;11.11;2;0;0;0;0;0;2
embarba;Adri Embarba;545;9;100.00;1;11.11;7;77.78;6;66.67;2;0;0;0;0;0;7
adria-altimira;Adrià Alti;269;5;55.56;1;20.00;3;33.33;2;22.22;0;0;0;0;0;0;5
pedrosa-1;Adrià Pedrosa;515;7;77.78;4;57.14;6;66.67;2;22.22;3;0;0;0;0;0;6
adrian-2;Adrián San Miguel del Castillo;0;0;0.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
adrian-pica;Adrián Hernández Hernández;132;3;33.33;1;33.33;1;11.11;0;0.00;0;0;0;0;0;0;1
a-rodriguez-1;Adrián Rodríguez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
malcom-adu-ares;Malcom Abdulai Ares Djaló;18;1;11.11;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
aihen;Aihen Muñoz;126;3;33.33;1;33.33;1;11.11;0;0.00;1;0;0;0;0;0;1
aimar-1;Aimar Oroz;703;9;100.00;2;22.22;9;100.00;7;77.78;0;0;0;1;0;0;10
aitor-fdez;Aitor Fernández;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aitor-fraga;Aitor Fraga;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
paredes-2;Aitor Paredes;440;5;55.56;4;80.00;5;55.56;1;11.11;1;1;1;1;0;0;6
aitor-r;Aitor Ruibal;343;9;100.00;1;11.11;4;44.44;3;33.33;1;0;0;0;0;0;3
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;171;3;33.33;1;33.33;2;22.22;1;11.11;1;0;0;0;0;0;2
alberto-collado;Alberto Collado;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alberto-flores;Alberto Flores;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alberto-mari;Alberto Marí;6;1;11.11;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
a-moleiro;Alberto Moleiro;686;9;100.00;3;33.33;8;88.89;5;55.56;1;0;0;3;0;0;13
alberto-risco;Alberto Risco;65;5;55.56;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-balde;Alejandro Balde;547;8;88.89;2;25.00;6;66.67;4;44.44;0;0;0;0;0;0;5
catena;Alejandro Catena;720;8;88.89;8;100.00;8;88.89;0;0.00;1;0;0;0;0;0;14
