ID;Jugador;BLOQ;INTER;R;D;EE;EF;JUH;DE;DF;DAE;DAF
abdessamad-ezzalzouli;Abde Ezzalzouli;0;4;30;1;8;5;0;57;53;9;11
abderrahman-rebbach;Abde Rebbach;0;0;8;3;0;0;0;8;19;1;5
abqar;Abdel Abqar;3;18;22;33;5;3;0;20;31;7;8
abdoulaye-keita;Abdoulaye Keita;0;0;1;0;0;0;0;1;3;1;1
abdul-mumin;Abdul Mumin;10;12;37;49;7;1;0;28;30;15;14
abdon;Abdón Prats;0;0;7;2;1;0;0;16;19;9;13
abel-bretones;Abel Bretones;2;6;34;18;13;6;0;40;26;7;5
abel-ruiz;Abel Ruiz;1;2;13;3;0;2;0;19;36;5;12
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;0;0;0;2;0;0
adama-boiro;Adama Boiro;3;3;4;5;4;3;0;14;12;4;3
januzaj;Adnan Januzaj;0;0;8;1;1;1;0;12;12;1;4
embarba;Adri Embarba;0;4;19;3;5;7;0;28;41;4;8
adria-altimira;Adrià Alti;1;5;16;3;3;4;0;20;18;3;6
pedrosa-1;Adrià Pedrosa;2;4;20;14;3;6;0;21;31;1;13
adrian-2;Adrián San Miguel del Castillo;0;0;0;0;0;0;0;0;0;0;0
adrian-pica;Adrián Hernández Hernández;4;2;5;4;2;0;0;8;7;5;4
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0;0;0
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;1;0;0;0;0;0;4;0;0
aihen;Aihen Muñoz;0;1;3;6;1;0;0;6;9;2;6
aimar-1;Aimar Oroz;1;6;40;1;8;5;0;32;42;1;12
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0;0;0
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;0;0
paredes-2;Aitor Paredes;6;4;15;33;2;1;0;11;12;7;3
aitor-r;Aitor Ruibal;1;3;15;2;2;1;0;14;20;1;4
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;1;0;11;2;3;0;0;11;3;2;2
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;0;0
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0;0;0
