ID;Jugador;TA;TR;SA;FDJ;FR;FC;PR;PCOM;FPM;FPT
abdessamad-ezzalzouli;Abde Ezzalzouli;1;0;0;2;18;8;1;0;1;8.00
abderrahman-rebbach;Abde Rebbach;1;0;0;2;5;3;0;0;0;3.00
abqar;Abdel Abqar;4;0;0;1;5;19;1;0;0;4.75
abdoulaye-keita;Abdoulaye Keita;0;0;0;0;0;2;0;0;0;0.00
abdul-mumin;Abdul Mumin;3;0;0;0;5;10;0;0;0;3.33
abdon;Abdón Prats;2;0;0;1;6;2;0;0;0;1.00
abel-bretones;Abel Bretones;1;0;0;0;9;6;0;0;0;6.00
abel-ruiz;Abel Ruiz;2;0;0;4;7;6;0;0;0;3.00
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;1;0;0;0;0.00
adama-boiro;Adama Boiro;0;0;0;0;1;3;0;0;0;0.00
januzaj;Adnan Januzaj;2;0;0;0;5;0;0;0;0;0.00
embarba;Adri Embarba;2;0;0;6;7;11;0;0;2;5.50
adria-altimira;Adrià Alti;0;0;0;1;6;3;0;0;0;0.00
pedrosa-1;Adrià Pedrosa;3;0;0;0;5;8;0;0;0;2.67
adrian-2;Adrián San Miguel del Castillo;1;0;0;0;0;0;0;0;0;0.00
adrian-pica;Adrián Hernández Hernández;0;0;0;0;1;1;0;0;0;0.00
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0;0.00
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;0;0;0;0;0;0;0;0.00
aihen;Aihen Muñoz;1;0;0;0;3;1;0;0;0;1.00
aimar-1;Aimar Oroz;0;0;0;2;13;4;0;0;0;0.00
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0;0.00
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;0.00
paredes-2;Aitor Paredes;1;1;1;0;2;6;0;1;0;6.00
aitor-r;Aitor Ruibal;1;0;0;1;6;2;0;0;0;2.00
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;1;0;0;0;5;0;0;0;0;0.00
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;0.00
