ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
abdessamad-ezzalzouli;Abde Ezzalzouli;1;13;110;90;20;238;181;3;0;0.05;0.00;0.05;0.00;0.05;0.00;0.00
abderrahman-rebbach;Abde Rebbach;7;0;27;21;6;49;31;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abqar;Abdel Abqar;0;8;51;36;15;209;118;22;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abdoulaye-keita;Abdoulaye Keita;0;0;4;2;2;6;1;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abdul-mumin;Abdul Mumin;0;8;58;29;29;401;295;23;0;0.50;0.00;0.50;0.50;0.00;0.00;0.00
abdon;Abdón Prats;0;1;35;13;22;26;17;1;0;0.20;0.00;0.20;0.20;0.00;0.00;0.00
abel-bretones;Abel Bretones;0;19;66;54;12;195;125;12;0;0.67;0.33;0.33;0.67;0.00;0.00;0.00
abel-ruiz;Abel Ruiz;0;2;55;38;17;138;121;5;0;0.20;0.00;0.20;0.00;0.20;0.00;0.00
aboubacar-bassinga;Aboubacar Bassinga;0;0;2;2;0;4;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adama-boiro;Adama Boiro;0;7;26;19;7;57;44;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
januzaj;Adnan Januzaj;12;2;24;19;5;86;65;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
embarba;Adri Embarba;21;12;69;57;12;160;106;9;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adria-altimira;Adrià Alti;0;7;38;29;9;79;64;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pedrosa-1;Adrià Pedrosa;2;9;52;38;14;224;172;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adrian-2;Adrián San Miguel del Castillo;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adrian-pica;Adrián Hernández Hernández;0;2;15;6;9;55;37;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;4;4;0;8;5;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aihen;Aihen Muñoz;0;1;15;7;8;60;50;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aimar-1;Aimar Oroz;1;13;74;61;13;235;190;11;1;0.14;0.00;0.14;0.14;0.00;0.00;0.00
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
paredes-2;Aitor Paredes;0;3;23;13;10;184;136;12;0;1.00;0.00;1.00;1.00;0.00;0.00;0.00
aitor-r;Aitor Ruibal;0;3;34;29;5;114;91;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;0;3;14;10;4;109;93;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
