ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
abdessamad-ezzalzouli;Abde Ezzalzouli;0;9;27;23;4;51;41;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abderrahman-rebbach;Abde Rebbach;2;0;10;7;3;10;8;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abqar;Abdel Abqar;0;5;25;22;3;119;72;11;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abdul-mumin;Abdul Mumin;0;5;22;10;12;136;99;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abdon;Abdón Prats;0;0;6;1;5;1;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abel-bretones;Abel Bretones;0;7;21;17;4;86;55;6;0;1.00;0.00;1.00;1.00;0.00;0.00;0.00
abel-ruiz;Abel Ruiz;0;0;23;16;7;74;63;2;0;0.25;0.00;0.25;0.00;0.25;0.00;0.00
aboubacar-bassinga;Aboubacar Bassinga;0;0;2;2;0;4;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adama-boiro;Adama Boiro;0;2;13;7;6;25;19;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
embarba;Adri Embarba;13;7;40;32;8;74;44;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adria-altimira;Adrià Alti;0;2;13;9;4;27;21;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pedrosa-1;Adrià Pedrosa;0;4;26;18;8;130;99;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adrian-2;Adrián San Miguel del Castillo;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adrian-pica;Adrián Hernández Hernández;0;1;12;5;7;38;27;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;4;4;0;8;5;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aihen;Aihen Muñoz;0;1;6;4;2;1;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
