ID;Jugador;T;DAP;ASI;RE;RF;G;GDDA;GFDA;GCPI;GCPD;GDP;CG;GBP;GPP
abdessamad-ezzalzouli;Abde Ezzalzouli;41;17;1;42;32;1;1;0;0.00;0.02;0;0.00;0;0
abderrahman-rebbach;Abde Rebbach;3;1;0;3;9;0;0;0;0.00;0.00;0;0.00;0;0
abqar;Abdel Abqar;5;1;1;1;1;0;0;0;0.00;0.00;0;0.00;0;0
abdoulaye-keita;Abdoulaye Keita;1;0;0;1;2;0;0;0;0.00;0.00;0;0.00;0;0
abdul-mumin;Abdul Mumin;10;4;1;5;4;2;2;0;0.10;0.00;0;0.10;0;0
abdon;Abdón Prats;9;5;0;0;0;2;2;0;0.11;0.00;1;0.11;0;0
abel-bretones;Abel Bretones;7;3;0;12;8;2;1;1;0.29;0.00;0;0.00;0;0
abel-ruiz;Abel Ruiz;16;9;0;5;8;4;4;0;0.00;0.19;1;0.06;0;0
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
adam-aznou;Adam Aznou;0;0;0;3;1;0;0;0;0.00;0.00;0;0.00;0;0
adama-boiro;Adama Boiro;1;0;0;5;6;0;0;0;0.00;0.00;0;0.00;0;0
januzaj;Adnan Januzaj;5;3;1;4;13;2;1;1;0.40;0.00;0;0.00;1;0
embarba;Adri Embarba;16;7;1;15;17;1;1;0;0.00;0.06;0;0.00;0;0
adria-altimira;Adrià Alti;3;1;0;8;10;0;0;0;0.00;0.00;0;0.00;0;0
pedrosa-1;Adrià Pedrosa;7;2;1;9;10;1;0;1;0.14;0.00;0;0.00;0;0
adrian-2;Adrián San Miguel del Castillo;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
arnu;Adrián Arnu;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
adrian-nino;Adrián Niño;2;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
adrian-pica;Adrián Hernández Hernández;3;1;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
aihen;Aihen Muñoz;4;0;0;3;3;0;0;0;0.00;0.00;0;0.00;0;0
aimar-1;Aimar Oroz;19;9;1;31;25;2;2;0;0.05;0.05;0;0.00;0;0
aingeru-olabarrieta;Aingeru Olabarrieta;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
aitor-gismera;Aitor Gismera;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
paredes-2;Aitor Paredes;5;3;0;0;1;3;3;0;0.20;0.00;0;0.40;0;0
aitor-r;Aitor Ruibal;6;2;2;8;7;0;0;0;0.00;0.00;0;0.00;0;0
akor-adams;Akor Adams;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alassane-diatta;Alassane Diatta;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;5;2;2;3;2;0;0;0;0.00;0.00;0;0.00;0;0
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alberto-mari;Alberto Marí;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
a-moleiro;Alberto Moleiro;39;19;0;47;55;4;4;0;0.05;0.03;0;0.03;0;0
alberto-risco;Alberto Risco;1;1;0;1;5;0;0;0;0.00;0.00;0;0.00;0;0
alex-balde;Alejandro Balde;8;2;3;39;37;0;0;0;0.00;0.00;0;0.00;0;0
catena;Alejandro Catena;11;4;1;6;1;0;0;0;0.00;0.00;0;0.00;0;0
a-frances;Alejandro Francés;1;0;0;4;4;0;0;0;0.00;0.00;0;0.00;0;0
