ID;Jugador;MJ;PJ;%PJ;PC;%PC;PT;%PT;PS;%PS;TA;TR;SA;G;PR;GPP;GE
abdessamad-ezzalzouli;Abde Ezzalzouli;1533;23;92.00;2;8.70;18;72.00;16;64.00;2;0;0;1;1;0;22
abderrahman-rebbach;Abde Rebbach;383;8;32.00;1;12.50;4;16.00;3;12.00;1;0;0;0;0;0;7
abqar;Abdel Abqar;1941;23;92.00;19;82.61;23;92.00;4;16.00;12;0;0;0;1;0;35
abdoulaye-keita;Abdoulaye Keita;94;3;12.00;0;0.00;1;4.00;1;4.00;0;0;0;0;0;0;0
abdul-mumin;Abdul Mumin;1985;23;92.00;22;95.65;23;92.00;1;4.00;6;1;0;2;0;0;21
abdon;Abdón Prats;222;16;66.67;0;0.00;1;4.17;1;4.17;4;0;0;2;0;0;5
abel-bretones;Abel Bretones;1401;24;96.00;9;37.50;13;52.00;4;16.00;2;0;0;2;0;0;25
abel-ruiz;Abel Ruiz;1109;17;68.00;1;5.88;14;56.00;13;52.00;3;0;0;4;0;0;15
aboubacar-bassinga;Aboubacar Bassinga;3;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adam-aznou;Adam Aznou;77;2;8.00;0;0.00;1;4.00;1;4.00;1;0;0;0;0;0;3
adama-boiro;Adama Boiro;689;11;44.00;2;18.18;9;36.00;7;28.00;1;0;0;0;0;0;6
januzaj;Adnan Januzaj;313;8;32.00;1;12.50;3;12.00;2;8.00;3;0;0;2;0;0;3
embarba;Adri Embarba;1185;23;92.00;1;4.35;13;52.00;12;48.00;4;0;0;1;0;0;13
adria-altimira;Adrià Alti;1086;15;60.00;6;40.00;12;48.00;6;24.00;3;0;0;0;0;0;20
pedrosa-1;Adrià Pedrosa;1347;18;75.00;8;44.44;16;66.67;8;33.33;6;0;0;1;0;0;16
adrian-2;Adrián San Miguel del Castillo;540;6;24.00;6;100.00;6;24.00;0;0.00;2;0;0;0;0;0;9
arnu;Adrián Arnu;2;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adrian-nino;Adrián Niño;11;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adrian-pica;Adrián Hernández Hernández;485;8;32.00;4;50.00;5;20.00;1;4.00;1;0;0;0;0;0;7
a-rodriguez-1;Adrián Rodríguez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
malcom-adu-ares;Malcom Abdulai Ares Djaló;18;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
aihen;Aihen Muñoz;583;13;52.00;3;23.08;8;32.00;5;20.00;4;0;0;0;0;0;3
aimar-1;Aimar Oroz;1955;24;96.00;10;41.67;23;92.00;13;52.00;5;0;0;2;0;0;27
aingeru-olabarrieta;Aingeru Olabarrieta;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aitor-fdez;Aitor Fernández;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aitor-fraga;Aitor Fraga;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aitor-gismera;Aitor Gismera;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
paredes-2;Aitor Paredes;1225;15;60.00;12;80.00;14;56.00;2;8.00;2;1;1;3;0;0;14
aitor-r;Aitor Ruibal;661;18;72.00;1;5.56;7;28.00;6;24.00;3;0;0;0;0;0;10
akor-adams;Akor Adams;9;1;4.17;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alassane-diatta;Alassane Diatta;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;1118;15;62.50;8;53.33;12;50.00;4;16.67;3;0;0;0;0;0;15
alberto-collado;Alberto Collado;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alberto-flores;Alberto Flores;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alberto-mari;Alberto Marí;6;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
a-moleiro;Alberto Moleiro;1863;24;96.00;12;50.00;22;88.00;10;40.00;4;0;0;4;0;0;35
alberto-risco;Alberto Risco;65;5;20.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-balde;Alejandro Balde;1794;23;92.00;13;56.52;21;84.00;8;32.00;1;0;0;0;0;0;16
catena;Alejandro Catena;2053;23;92.00;22;95.65;23;92.00;1;4.00;7;0;0;0;0;0;32
a-frances;Alejandro Francés;713;11;44.00;4;36.36;8;32.00;4;16.00;1;0;0;0;0;0;14
alejandro-iturbe;Alejandro Iturbe;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alejandro-jay;Alejandro Jay;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-padilla;Alejandro Padilla;320;5;20.00;3;60.00;3;12.00;0;0.00;0;0;0;0;0;1;6
alejo-veliz;Alejo Véliz;944;20;80.00;2;10.00;10;40.00;8;32.00;2;0;0;1;0;0;20
aleksandar-andreev;Aleksandar Andreev;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
sedlar;Aleksandar Sedlar;425;7;28.00;4;57.14;5;20.00;1;4.00;1;1;0;0;0;0;7
alex-almansa;Alex Almansa;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
berenguer;Alex Berenguer;1441;24;96.00;3;12.50;17;68.00;14;56.00;3;0;0;5;2;0;12
alex-kral;Alex Král;2192;25;100.00;23;92.00;24;96.00;1;4.00;1;0;0;0;0;0;35
alex-marchal;Alex Marchal;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alexander-sorloth;Alexander Sørloth;904;22;88.00;2;9.09;8;32.00;6;24.00;1;0;0;9;0;0;5
alfonso-1;Alfon González;524;14;56.00;0;0.00;5;20.00;5;20.00;0;1;0;1;0;0;12
a-espino;Alfonso Espino;398;6;24.00;3;50.00;5;20.00;2;8.00;2;0;0;0;0;0;5
a-pedraza;Alfonso Pedraza;1;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
ali-fadal;Ali Fadal;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
nyom;Allan Nyom;586;11;44.00;3;27.27;7;28.00;4;16.00;4;0;0;1;0;0;6
alvaro-abajas;Alvin Abajas;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
amath;Amath Ndiaye;316;9;36.00;0;0.00;5;20.00;5;20.00;0;0;0;0;0;0;6
ander-astralaga;Ander Astralaga;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
barrenetxea;Ander Barrenetxea;825;20;80.00;0;0.00;8;32.00;8;32.00;4;0;0;1;0;0;12
guevara;Ander Guevara;1415;23;92.00;6;26.09;15;60.00;9;36.00;1;0;0;0;0;0;21
ander;Ander Herrera;269;8;32.00;0;0.00;2;8.00;2;8.00;2;0;0;0;0;0;2
gorosabel;Andoni Gorosabel;755;11;44.00;3;27.27;9;36.00;6;24.00;1;0;0;0;0;0;8
andreas-christensen;Andreas Christensen;26;1;4.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
andrei;Andrei Ratiu;1999;23;92.00;20;86.96;22;88.00;2;8.00;4;0;0;1;0;0;22
lunin;Andrii Lunin;270;3;12.00;3;100.00;3;12.00;0;0.00;0;0;0;0;0;0;4
andre-almeida-1;Domingos André Ribeiro Almeida;1232;22;88.00;4;18.18;14;56.00;10;40.00;1;0;0;0;0;0;21
andre-ferreira;André Filipe Magalhães Ribeiro Ferreira;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
andres-cuenca;Andrés Cuenca;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
andy-pelmard;Andy Pelmard;205;4;16.00;1;25.00;2;8.00;1;4.00;1;0;0;0;0;0;3
ansu-fati;Ansu Fati;125;4;16.00;0;0.00;1;4.00;1;4.00;1;0;0;0;0;0;0
antal-yaakobishvili;Antal Yaakobishvili;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
budimir;Ante Budimir;1905;25;100.00;10;40.00;22;88.00;12;48.00;3;0;0;13;5;0;26
griezmann;Antoine Griezmann;1815;25;100.00;8;32.00;21;84.00;13;52.00;2;0;0;8;0;0;13
antonio-blanco;Antonio Blanco;1688;23;92.00;12;52.17;20;80.00;8;32.00;6;0;0;0;0;0;32
antonio-candela;Antonio Candela;213;3;12.00;1;33.33;3;12.00;2;8.00;0;0;0;0;0;0;9
antonio-espigares;Antonio Espigares;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
antonio-gomis;Antonio Gomis;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
a-raillo;Antonio Raíllo;2039;23;95.83;22;95.65;23;95.83;1;4.17;2;1;0;1;0;0;26
antonio-rudiger;Antonio Rüdiger;1812;23;92.00;19;82.61;21;84.00;2;8.00;2;0;0;0;2;0;19
sivera;Antonio Sivera;1854;21;84.00;20;95.24;21;84.00;1;4.00;4;0;0;0;0;1;33
sanchez;Antonio Sánchez;875;20;83.33;2;10.00;7;29.17;5;20.83;1;0;0;0;0;0;11
antoniu-roca;Antoniu Roca;482;14;56.00;0;0.00;6;24.00;6;24.00;3;0;0;0;0;0;5
antony;Antony Matheus dos Santos;323;4;16.00;2;50.00;4;16.00;2;8.00;1;1;0;2;1;0;5
a-tuhami;Anuar Tuhami;1141;15;60.00;7;46.67;13;52.00;6;24.00;5;0;0;2;1;0;25
arda-guler;Arda Güler;605;16;64.00;0;0.00;6;24.00;6;24.00;1;0;0;1;0;0;7
aridane-1;Aridane Hernández;203;4;16.00;1;25.00;2;8.00;1;4.00;0;0;0;0;0;1;5
arambarri-1;Aritz Arambarri;178;2;8.00;1;50.00;2;8.00;1;4.00;0;0;0;0;0;0;2
aritz;Aritz Elustondo;693;12;48.00;4;33.33;7;28.00;3;12.00;0;0;0;0;0;0;8
arkaitz-mariezkurrena;Arkaitz Mariezkurrena;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
arnau-1;Arnau Martínez;1697;21;84.00;16;76.19;19;76.00;3;12.00;2;0;0;2;0;0;27
arnau-rafus;Arnau Rafús;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
arnau-sola;Arnau Solà;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
arnaut-danjuma;Arnaut Danjuma;1004;18;72.00;2;11.11;12;48.00;10;40.00;3;0;0;3;0;0;17
arsen-zakharyan;Arsen Zakharyan;71;3;12.00;0;0.00;1;4.00;1;4.00;0;0;0;1;0;0;0
arthur;Arthur Henrique Ramos de Oliveira Melo;55;2;8.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
arthur-vermeeren;Arthur Vermeeren;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
asier-osambela;Asier Osambela;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
villalibre;Asier Villalibre;273;12;48.00;0;0.00;2;8.00;2;8.00;1;0;0;1;0;0;8
assane-diao;Assane Diao;272;10;40.00;0;0.00;2;8.00;2;8.00;0;0;0;1;0;0;4
augusto-batalla;Augusto Batalla;1800;20;80.00;20;100.00;20;80.00;0;0.00;3;0;0;0;0;0;20
aurelien-tchouameni;Aurélien Tchouaméni;1727;20;80.00;17;85.00;20;80.00;3;12.00;1;0;0;0;0;0;19
axel-witsel;Axel Witsel;757;12;48.00;7;58.33;8;32.00;1;4.00;1;0;0;0;0;0;8
ayoze-perez;Ayoze Pérez;1080;18;72.00;4;22.22;11;44.00;7;28.00;3;0;0;11;0;0;13
b-ramirez;Benito Ramírez;371;16;64.00;0;0.00;1;4.00;1;4.00;2;1;0;0;0;0;8
bertug-yildirim;Bertug Yildirim;930;17;68.00;2;11.76;12;48.00;10;40.00;7;0;0;1;1;0;6
benat-prados;Beñat Prados;1065;19;76.00;2;10.53;13;52.00;11;44.00;6;0;0;1;0;0;9
benat-turrientes;Beñat Turrientes;604;13;52.00;2;15.38;8;32.00;6;24.00;4;0;0;0;0;0;4
bojan-miovski;Bojan Miovski;660;12;48.00;1;8.33;9;36.00;8;32.00;0;0;0;2;1;0;13
b-iglesias;Borja Iglesias;1335;25;100.00;1;4.00;16;64.00;15;60.00;2;0;0;5;2;0;21
b-mayoral;Borja Mayoral;389;11;44.00;1;9.09;1;4.00;0;0.00;0;0;0;4;0;0;5
borna-barisic;Borna Barisic;10;1;4.00;0;0.00;1;4.00;1;4.00;0;0;0;0;0;0;0
brahim;Brahim Díaz;915;20;80.00;4;20.00;10;40.00;6;24.00;0;0;0;3;0;0;10
brais-mendez;Brais Méndez;1265;21;84.00;4;19.05;15;60.00;11;44.00;4;0;0;3;0;0;13
b-olivan;Brian Oliván;1017;17;68.00;7;41.18;12;48.00;5;20.00;2;0;0;0;0;0;16
bryan;Bryan Gil;1574;23;92.00;4;17.39;19;76.00;15;60.00;3;0;0;3;0;0;28
bryan-zaragoza;Bryan Zaragoza;1284;19;76.00;1;5.26;16;64.00;15;60.00;3;0;0;1;0;0;20
carl-starfelt;Carl Starfelt;1806;22;88.00;18;81.82;20;80.00;2;8.00;5;0;0;1;0;0;30
alena;Carles Aleñá;628;12;48.00;1;8.33;7;28.00;6;24.00;1;0;0;0;0;0;7
c-perez;Carles Pérez;1282;21;84.00;4;19.05;14;56.00;10;40.00;2;0;0;2;0;0;14
carlos-benavidez;Carlos Benavídez;328;10;40.00;1;10.00;5;20.00;4;16.00;2;0;0;1;0;0;8
c-dominguez;Carlos Domínguez;738;12;48.00;6;50.00;9;36.00;3;12.00;1;0;0;0;0;1;14
carlos-guirao;Carlos Guirao;112;2;8.00;0;0.00;2;8.00;2;8.00;0;0;0;0;0;0;6
carlos-lumbreras;Carlos Lumbreras;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
carlos-martin;Carlos Martín;841;16;64.00;0;0.00;10;40.00;10;40.00;2;0;0;2;0;0;11
carlos-romero;Carlos Romero;1393;21;84.00;7;33.33;15;60.00;8;32.00;5;0;0;2;0;0;24
carlos-vicente;Carlos Vicente;2077;24;96.00;18;75.00;24;96.00;6;24.00;1;0;0;3;0;0;33
catala;José Luis Català Vázquez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
cenk-ozkacar;Cenk Özkacar;196;4;16.00;2;50.00;3;12.00;1;4.00;0;0;0;0;0;0;5
chema-andres;José María Andres Baixauli;7;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
chidera-ejuke;Chidera Ejuke;633;14;58.33;2;14.29;6;25.00;4;16.67;0;0;0;1;0;0;8
chimy-avila;Chimy Ávila;606;17;68.00;2;11.76;6;24.00;4;16.00;4;1;0;2;0;0;7
