ID;Jugador;Equipo;Posicion
adrian2;Adrian San Miguel del Castillo;Real Betis;Porteros
arodriguez1;Adrian Rodriguez;Deportivo Alaves;Porteros
aitorfdez;Aitor Fernandez;CA Osasuna;Porteros
aitorfraga;Aitor Fraga;Real Sociedad;Porteros
albertoflores;Alberto Flores;Sevilla FC;Porteros
alejandroiturbe;Alejandro Iturbe;Atletico de Madrid;Porteros
alexpadilla;Alejandro Padilla;Sin equipo;Porteros
aleksandarandreev;Aleksandar Andreev;Girona FC;Porteros
alvaroabajas;Alvin Abajas;CD Leganes;Porteros
anderastralaga;Ander Astralaga;FC Barcelona;Porteros
lunin;Andrii Lunin;Real Madrid;Porteros
andreferreira;Andre Filipe Magalhaes Ribeiro Ferreira;Real Valladolid CF;Porteros
antoniogomis;Antonio Gomis;Atletico de Madrid;Porteros
sivera;Antonio Sivera;Deportivo Alaves;Porteros
arnaurafus;Arnau Rafus;Real Valladolid CF;Porteros
augustobatalla;Augusto Batalla;Rayo Vallecano;Porteros
cesargonzalez;Cesar Fernandez;RC Celta;Porteros
cardenas;Dani Cardenas;Rayo Vallecano;Porteros
davidsoria;David Soria;Getafe CF;Porteros
diegoconde;Diego Conde;Villarreal CF;Porteros
diegoferrer;Diego Ferrer;Getafe CF;Porteros
diegokochen;Diego Kochen;FC Barcelona;Porteros
dimitriosstamatakis;Dimitrios Stamatakis;CA Osasuna;Porteros
dinkohorkas;Dinko Horkas;UD Las Palmas;Porteros
djordjijemedenica;Djordjije Medenica;Getafe CF;Porteros
dominikgreif;Dominik Greif;RCD Mallorca;Porteros
egoitzarana;Egoitz Arana;Real Sociedad;Porteros
pacheco2;Fernando Pacheco;RCD Espanyol de Barcelona;Porteros
franciscogonzalez;Francisco Javier Gonzalez Perez;Real Madrid;Porteros
fvieites;Francisco Barbosa Vieites;Real Betis;Porteros
germangarcia;German Garcia;Real Betis;Porteros
giorgimamardashvili;Giorgi Mamardashvili;Valencia CF;Porteros
gregoireswiderski;Gregoire Swiderski;Deportivo Alaves;Porteros
guilhermefernandes;Guilherme Sousa Carvalho Fernandes;Real Betis;Porteros
guillermoruiz;Guillermo Ruiz;CD Leganes;Porteros
horatiumoldovan;Horatiu Moldovan;Sin equipo;Porteros
ikeralvarez;Iker Alvarez;Villarreal B;Porteros
israelmora;Israel Mora;UD Las Palmas;Porteros
cuellar;Ivan Cuellar;RCD Mallorca;Porteros
ivanvillar;Ivan Villar;RC Celta;Porteros
inakipena;Ignacio Pena Sotorres;FC Barcelona;Porteros
oblak;Jan Oblak;Atletico de Madrid;Porteros
cillessen;Jasper Cillessen;UD Las Palmas;Porteros
domenech;Jaume Domenech;Valencia CF;Porteros
jesusowono;Jesus Owono;Deportivo Alaves;Porteros
jiriletacek;Jiri Letacek;Getafe CF;Porteros
jgarcia;Joan Garcia;RCD Espanyol de Barcelona;Porteros
jorgebenito;Jorge Benito;Sin equipo;Porteros
juancarlos1;Juan Carlos Martin Corral;Girona FC;Porteros
juanmusso;Juan Musso;Atletico de Madrid;Porteros
juansoriano;Juan Soriano;CD Leganes;Porteros
juanpe1;Juan Pedro Gil Bueno;Rayo Vallecano;Porteros
julenagirrezabala;Julen Agirrezabala;Athletic Club;Porteros
karlhein;Karl Hein;Real Valladolid CF;Porteros
leo1;Leo Roman;RCD Mallorca;Porteros
llorencserred;Llorenc Serred;RCD Espanyol de Barcelona;Porteros
lucasgarcia;Lucas Garcia Madrigal;Girona FC;Porteros
luizjunior1;Luiz Lucio Reis Junior;Villarreal CF;Porteros
manugonzalez;Manuel Gonzalez Pallares;Real Betis;Porteros
marcvidal;Marc Vidal;RC Celta;Porteros
terstegen;MarcAndre ter Stegen;FC Barcelona;Porteros
dmitrovic;Marko Dmitrovic;CD Leganes;Porteros
matiasarbol;Matias Arbol;Sevilla FC;Porteros
mmorro;Miguel Angel Morro;Sin equipo;Porteros
oiergastesi;Oier Gastesi;Athletic Club;Porteros
pablovalencia;Pablo Valencia;CA Osasuna;Porteros
paulopez;Pau Lopez;Lens;Porteros
paulogazzaniga;Paulo Gazzaniga;Girona FC;Porteros
perejoan;Pere Garcia;RCD Mallorca;Porteros
poltristan;Pol Tristan;RCD Espanyol de Barcelona;Porteros
rafaromero;Rafael Romero;Sevilla FC;Porteros
rauljimenez1;Raul Jimenez;Valencia CF;Porteros
rubengomezperis;Ruben Gomez;Villarreal CF;Porteros
ruisilva;Rui Tiago Dantas da Silva;Sin equipo;Porteros
sherrera;Sergio Herrera;CA Osasuna;Porteros
sergiomestre;Sergio Mestre;Real Madrid;Porteros
dimitrievski;Stole Dimitrievski;Valencia CF;Porteros
courtois;Thibaut Courtois;Real Madrid;Porteros
marrero;Unai Marrero;Real Sociedad;Porteros
unaisimon;Unai Simon;Athletic Club;Porteros
