ID;Jugador;Equipo;Posicion
adrian-2;Adrián San Miguel del Castillo;Real Betis;Porteros
a-rodriguez-1;Adrián Rodríguez;Deportivo Alavés;Porteros
aitor-fdez;Aitor Fernández;CA Osasuna;Porteros
aitor-fraga;Aitor Fraga;Real Sociedad;Porteros
alberto-flores;Alberto Flores;Sevilla FC;Porteros
alejandro-iturbe;Alejandro Iturbe;Atlético de Madrid;Porteros
alex-padilla;Alejandro Padilla;Sin equipo;Porteros
aleksandar-andreev;Aleksandar Andreev;Girona FC;Porteros
alvaro-abajas;Alvin Abajas;CD Leganés;Porteros
ander-astralaga;Ander Astralaga;FC Barcelona;Porteros
lunin;Andrii Lunin;Real Madrid;Porteros
andre-ferreira;André Filipe Magalhães Ribeiro Ferreira;Real Valladolid CF;Porteros
antonio-gomis;Antonio Gomis;Atlético de Madrid;Porteros
sivera;Antonio Sivera;Deportivo Alavés;Porteros
arnau-rafus;Arnau Rafús;Real Valladolid CF;Porteros
augusto-batalla;Augusto Batalla;Rayo Vallecano;Porteros
cesar-gonzalez;César Fernández;RC Celta;Porteros
cardenas;Dani Cárdenas;Rayo Vallecano;Porteros
david-soria;David Soria;Getafe CF;Porteros
diego-conde;Diego Conde;Villarreal CF;Porteros
diego-ferrer;Diego Ferrer;Getafe CF;Porteros
diego-kochen;Diego Kochen;FC Barcelona;Porteros
dimitrios-stamatakis;Dimitrios Stamatakis;CA Osasuna;Porteros
dinko-horkas;Dinko Horkas;UD Las Palmas;Porteros
djordjije-medenica;Djordjije Medenica;Getafe CF;Porteros
dominik-greif;Dominik Greif;RCD Mallorca;Porteros
egoitz-arana;Egoitz Arana;Real Sociedad;Porteros
pacheco-2;Fernando Pacheco;RCD Espanyol de Barcelona;Porteros
francisco-gonzalez;Francisco Javier González Pérez;Real Madrid;Porteros
f-vieites;Francisco Barbosa Vieites;Real Betis;Porteros
german-garcia;Germán García;Real Betis;Porteros
giorgi-mamardashvili;Giorgi Mamardashvili;Valencia CF;Porteros
gregoire-swiderski;Grégoire Swiderski;Deportivo Alavés;Porteros
guilherme-fernandes;Guilherme Sousa Carvalho Fernandes;Real Betis;Porteros
guillermo-ruiz;Guillermo Ruiz;CD Leganés;Porteros
horatiu-moldovan;Horatiu Moldovan;Sin equipo;Porteros
iker-alvarez;Iker Álvarez;Villarreal B;Porteros
israel-mora;Israel Mora;UD Las Palmas;Porteros
cuellar;Iván Cuéllar;RCD Mallorca;Porteros
ivan-villar;Iván Villar;RC Celta;Porteros
inaki-pena;Ignacio Peña Sotorres;FC Barcelona;Porteros
oblak;Jan Oblak;Atlético de Madrid;Porteros
cillessen;Jasper Cillessen;UD Las Palmas;Porteros
domenech;Jaume Domènech;Valencia CF;Porteros
jesus-owono;Jesús Owono;Deportivo Alavés;Porteros
jiri-letacek;Jirí Letácek;Getafe CF;Porteros
j-garcia;Joan García;RCD Espanyol de Barcelona;Porteros
jorge-benito;Jorge Benito;Sin equipo;Porteros
juan-carlos-1;Juan Carlos Martín Corral;Girona FC;Porteros
juan-musso;Juan Musso;Atlético de Madrid;Porteros
juan-soriano;Juan Soriano;CD Leganés;Porteros
juanpe-1;Juan Pedro Gil Bueno;Rayo Vallecano;Porteros
julen-agirrezabala;Julen Agirrezabala;Athletic Club;Porteros
karl-hein;Karl Hein;Real Valladolid CF;Porteros
leo-1;Leo Román;RCD Mallorca;Porteros
llorenc-serred;Llorenç Serred;RCD Espanyol de Barcelona;Porteros
lucas-garcia;Lucas García Madrigal;Girona FC;Porteros
luiz-junior-1;Luiz Lúcio Reis Júnior;Villarreal CF;Porteros
manu-gonzalez;Manuel González Pallarés;Real Betis;Porteros
marc-vidal;Marc Vidal;RC Celta;Porteros
ter-stegen;Marc-André ter Stegen;FC Barcelona;Porteros
dmitrovic;Marko Dmitrovic;CD Leganés;Porteros
matias-arbol;Matías Árbol;Sevilla FC;Porteros
m-morro;Miguel Ángel Morro;Sin equipo;Porteros
oier-gastesi;Oier Gastesi;Athletic Club;Porteros
pablo-valencia;Pablo Valencia;CA Osasuna;Porteros
pau-lopez;Pau López;Lens;Porteros
paulo-gazzaniga;Paulo Gazzaniga;Girona FC;Porteros
pere-joan;Pere García;RCD Mallorca;Porteros
pol-tristan;Pol Tristán;RCD Espanyol de Barcelona;Porteros
rafa-romero;Rafael Romero;Sevilla FC;Porteros
raul-jimenez-1;Raúl Jiménez;Valencia CF;Porteros
ruben-gomez-peris;Rubén Gómez;Villarreal CF;Porteros
rui-silva;Rui Tiago Dantas da Silva;Sin equipo;Porteros
s-herrera;Sergio Herrera;CA Osasuna;Porteros
sergio-mestre;Sergio Mestre;Real Madrid;Porteros
dimitrievski;Stole Dimitrievski;Valencia CF;Porteros
courtois;Thibaut Courtois;Real Madrid;Porteros
marrero;Unai Marrero;Real Sociedad;Porteros
unai-simon;Unai Simón;Athletic Club;Porteros
vicent-abril;Vicent Abril;Valencia CF;Porteros
guaita;Vicente Guaita;RC Celta;Porteros
vladyslav-krapyvtsov;Vladyslav Krapyvtsov;Girona FC;Porteros
victor-puig;Víctor Puig;UD Las Palmas;Porteros
wojciech-szczesny;Wojciech Szczesny;FC Barcelona;Porteros
a-remiro;Álex Remiro;Real Sociedad;Porteros
alvaro-aceves;Álvaro Aceves;CD Eldense;Porteros
alvaro-fernandez;Álvaro Fernández;Sevilla FC;Porteros
alvaro-killane;Álvaro Killane;UD Las Palmas;Porteros
angel-f;Ángel Fortuño;RCD Espanyol de Barcelona;Porteros
aron-yaakobishvili;Áron Yaakobishvili;FC Barcelona;Porteros
orjan-nyland;Ørjan Nyland;Sevilla FC;Porteros
abqar;Abdel Abqar;Deportivo Alavés;Defensas
abdul-mumin;Abdul Mumin;Rayo Vallecano;Defensas
abel-bretones;Abel Bretones;CA Osasuna;Defensas
adam-aznou;Adam Aznou;Real Valladolid CF;Defensas
adama-boiro;Adama Boiro;Athletic Club;Defensas
adria-altimira;Adrià Alti;CD Leganés;Defensas
pedrosa-1;Adrià Pedrosa;Sevilla FC;Defensas
adrian-pica;Adrián Hernández Hernández;Deportivo Alavés;Defensas
aihen;Aihen Muñoz;Real Sociedad;Defensas
paredes-2;Aitor Paredes;Athletic Club;Defensas
aitor-r;Aitor Ruibal;Real Betis;Defensas
alex-balde;Alejandro Balde;FC Barcelona;Defensas
catena;Alejandro Catena;CA Osasuna;Defensas
a-frances;Alejandro Francés;Girona FC;Defensas
alejandro-jay;Alejandro Jay;Deportivo Alavés;Defensas
sedlar;Aleksandar Sedlar;Deportivo Alavés;Defensas
a-espino;Alfonso Espino;Rayo Vallecano;Defensas
a-pedraza;Alfonso Pedraza;Villarreal CF;Defensas
nyom;Allan Nyom;Getafe CF;Defensas
gorosabel;Andoni Gorosabel;Athletic Club;Defensas
andreas-christensen;Andreas Christensen;FC Barcelona;Defensas
andrei;Andrei Ratiu;Rayo Vallecano;Defensas
andres-cuenca;Andrés Cuenca;FC Barcelona;Defensas
andy-pelmard;Andy Pelmard;UD Las Palmas;Defensas
antal-yaakobishvili;Antal Yaakobishvili;Girona FC;Defensas
antonio-candela;Antonio Candela;Real Valladolid CF;Defensas
antonio-espigares;Antonio Espigares;Villarreal CF;Defensas
a-raillo;Antonio Raíllo;RCD Mallorca;Defensas
antonio-rudiger;Antonio Rüdiger;Real Madrid;Defensas
aridane-1;Aridane Hernández;Rayo Vallecano;Defensas
arambarri-1;Aritz Arambarri;SD Eibar;Defensas
aritz;Aritz Elustondo;Real Sociedad;Defensas
arnau-1;Arnau Martínez;Girona FC;Defensas
arnau-sola;Arnau Solà;Villarreal CF;Defensas
axel-witsel;Axel Witsel;Atlético de Madrid;Defensas
borna-barisic;Borna Barisic;CD Leganés;Defensas
b-olivan;Brian Oliván;RCD Espanyol de Barcelona;Defensas
carl-starfelt;Carl Starfelt;RC Celta;Defensas
c-dominguez;Carlos Domínguez;RC Celta;Defensas
carlos-romero;Carlos Romero;RCD Espanyol de Barcelona;Defensas
catala;José Luis Català Vázquez;RCD Espanyol de Barcelona;Defensas
cenk-ozkacar;Cenk Özkacar;Real Valladolid CF;Defensas
lenglet;Clément Lenglet;Atlético de Madrid;Defensas
copete;José Manuel Arias Copete;RCD Mallorca;Defensas
cristhian-mosquera;Cristhian Mosquera;Valencia CF;Defensas
cesar-azpilicueta;César Azpilicueta;Atlético de Madrid;Defensas
cesar-tarrega;César Tárrega;Valencia CF;Defensas
daley-blind;Daley Blind;Girona FC;Defensas
daley-sinkgraven;Daley Sinkgraven;Sin equipo;Defensas
carvajal;Dani Carvajal;Real Madrid;Defensas
vivian;Dani Vivian;Athletic Club;Defensas
dario-benavides;Darío Benavides;Sevilla FC;Defensas
david-alaba;David Alaba;Real Madrid;Defensas
david-2;David Argüelles;Getafe CF;Defensas
david-jimenez-1;David Jiménez;Real Madrid;Defensas
david-lopez;David López;Girona FC;Defensas
david-lopez-4;David López;RCD Mallorca;Defensas
david-torres-1;David Torres;Real Valladolid CF;Defensas
diego-aguado;Diego Aguado;Real Madrid;Defensas
diego-hormigo;Diego Hormigo;Sevilla FC;Defensas
llorente-r;Diego Llorente;Real Betis;Defensas
rico;Diego Rico;Getafe CF;Defensas
foulquier;Dimitri Foulquier;Valencia CF;Defensas
djene;Djené Dakonam;Getafe CF;Defensas
domingos-d;Domingos de Sousa Coutinho Meneses Duarte;Getafe CF;Defensas
egoitz-munoz;Egoitz Muñoz;Deportivo Alavés;Defensas
eneko-ortiz;Eneko Ortiz;Deportivo Alavés;Defensas
franquesa;Enric Franquesa;CD Leganés;Defensas
boyomo;Enzo Boyomo;CA Osasuna;Defensas
eray-ervin-cumart;Eray Cömert;Real Valladolid CF;Defensas
eric-bailly;Eric Bailly;Villarreal CF;Defensas
eric-garcia;Eric García;FC Barcelona;Defensas
facundo-garces;Facundo Garcés;Deportivo Alavés;Defensas
f-mendy;Ferland Mendy;Real Madrid;Defensas
calero;Fernando Calero;RCD Espanyol de Barcelona;Defensas
ferran-ruiz;Ferrán Ruiz Martí;Girona FC;Defensas
lejeune;Florian Lejeune;Rayo Vallecano;Defensas
fran-garcia-1;Fran García;Real Madrid;Defensas
gerard-2;Gerard Martín;FC Barcelona;Defensas
geronimo-spina;Gerónimo Spina;Atlético de Madrid;Defensas
gonzalo-montiel;Gonzalo Montiel;Sin equipo;Defensas
gorka-rivera;Gorka Rivera;Getafe CF;Defensas
guillem-trilla;Guillem Trilla;Sin equipo;Defensas
hamari-traore;Hamari Traoré;Real Sociedad;Defensas
hector-bellerin;Héctor Bellerín;Real Betis;Defensas
hector-fort;Héctor Fort;FC Barcelona;Defensas
zubeldia;Igor Zubeldia;Real Sociedad;Defensas
iker-bachiller;Iker Bachiller;CD Leganés;Defensas
iker-cordoba;Iker Córdoba;Valencia CF;Defensas
ilias-kostis;Ilias Kostis;Atlético de Madrid;Defensas
ismael-bekhoucha;Ismael Bekhoucha;Getafe CF;Defensas
balliu;Iván Balliu;Rayo Vallecano;Defensas
