ID;Jugador;TA;TR;SA;FDJ;FR;FC;PR;PCOM;FPM;FPT
abdessamad-ezzalzouli;Abde Ezzalzouli;2;0;0;3;30;18;1;0;1;9.00
abderrahman-rebbach;Abde Rebbach;1;0;0;2;6;5;0;0;0;5.00
abqar;Abdel Abqar;12;0;0;2;23;40;1;2;2;3.33
abdoulaye-keita;Abdoulaye Keita;0;0;0;0;0;6;0;0;0;0.00
abdul-mumin;Abdul Mumin;6;1;0;0;12;22;0;0;1;3.67
abdon;Abdón Prats;4;0;0;1;8;4;0;0;0;1.00
abel-bretones;Abel Bretones;2;0;0;1;18;15;0;0;0;7.50
abel-ruiz;Abel Ruiz;3;0;0;5;10;6;0;0;0;2.00
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;1;0;0;0;0.00
adam-aznou;Adam Aznou;1;0;0;0;3;1;0;0;0;1.00
adama-boiro;Adama Boiro;1;0;0;0;7;7;0;0;0;7.00
januzaj;Adnan Januzaj;3;0;0;0;11;2;0;0;0;0.67
embarba;Adri Embarba;4;0;0;11;15;18;0;0;2;4.50
adria-altimira;Adrià Alti;3;0;0;2;17;21;0;1;1;7.00
pedrosa-1;Adrià Pedrosa;6;0;0;1;14;23;0;0;0;3.83
adrian-2;Adrián San Miguel del Castillo;2;0;0;0;0;0;0;0;0;0.00
arnu;Adrián Arnu;0;0;0;0;1;0;0;0;0;0.00
adrian-nino;Adrián Niño;0;0;0;0;0;0;0;0;0;0.00
adrian-pica;Adrián Hernández Hernández;1;0;0;0;3;6;0;0;0;6.00
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0;0.00
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;0;0;0;0;0;0;0;0.00
aihen;Aihen Muñoz;4;0;0;0;7;9;0;1;0;2.25
aimar-1;Aimar Oroz;5;0;0;5;47;21;0;0;0;4.20
aingeru-olabarrieta;Aingeru Olabarrieta;0;0;0;0;0;0;0;0;0;0.00
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0;0.00
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;0.00
aitor-gismera;Aitor Gismera;0;0;0;0;0;0;0;0;0;0.00
paredes-2;Aitor Paredes;2;1;1;0;4;17;0;1;0;8.50
aitor-r;Aitor Ruibal;3;0;0;2;8;4;0;0;0;1.33
akor-adams;Akor Adams;0;0;0;0;0;0;0;0;0;0.00
alassane-diatta;Alassane Diatta;0;0;0;0;0;0;0;0;0;0.00
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;3;0;0;0;14;16;0;0;0;5.33
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;0.00
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0;0.00
alberto-mari;Alberto Marí;0;0;0;0;0;1;0;0;0;0.00
a-moleiro;Alberto Moleiro;4;0;0;1;25;22;0;0;0;5.50
alberto-risco;Alberto Risco;0;0;0;0;2;1;0;0;0;0.00
alex-balde;Alejandro Balde;1;0;0;0;33;11;0;0;2;11.00
catena;Alejandro Catena;7;0;0;0;7;25;0;1;1;3.57
a-frances;Alejandro Francés;1;0;0;1;10;13;0;0;0;13.00
alejandro-iturbe;Alejandro Iturbe;0;0;0;0;0;0;0;0;0;0.00
alejandro-jay;Alejandro Jay;0;0;0;0;0;0;0;0;0;0.00
alex-padilla;Alejandro Padilla;0;0;0;0;1;0;0;0;0;0.00
alejo-veliz;Alejo Véliz;2;0;0;5;25;16;0;0;4;8.00
aleksandar-andreev;Aleksandar Andreev;0;0;0;0;0;0;0;0;0;0.00
sedlar;Aleksandar Sedlar;1;1;0;0;4;7;0;0;0;7.00
alex-almansa;Alex Almansa;0;0;0;0;0;0;0;0;0;0.00
berenguer;Alex Berenguer;3;0;0;4;21;18;2;0;1;6.00
alex-kral;Alex Král;1;0;0;0;20;25;0;0;1;25.00
alex-marchal;Alex Marchal;0;0;0;0;0;0;0;0;0;0.00
alexander-sorloth;Alexander Sørloth;1;0;0;3;12;14;0;0;4;14.00
alfonso-1;Alfon González;0;1;0;2;15;10;0;0;0;0.00
a-espino;Alfonso Espino;2;0;0;0;9;9;0;0;0;4.50
a-pedraza;Alfonso Pedraza;0;0;0;0;0;0;0;0;0;0.00
ali-fadal;Ali Fadal;0;0;0;0;0;0;0;0;0;0.00
nyom;Allan Nyom;4;0;0;0;6;14;0;1;0;3.50
alvaro-abajas;Alvin Abajas;0;0;0;0;0;0;0;0;0;0.00
amath;Amath Ndiaye;0;0;0;2;5;3;0;0;1;0.00
ander-astralaga;Ander Astralaga;0;0;0;0;0;0;0;0;0;0.00
barrenetxea;Ander Barrenetxea;4;0;0;1;8;22;0;1;2;5.50
guevara;Ander Guevara;1;0;0;0;15;24;0;0;0;24.00
ander;Ander Herrera;2;0;0;0;3;6;0;0;0;3.00
gorosabel;Andoni Gorosabel;1;0;0;1;0;12;0;0;1;12.00
andreas-christensen;Andreas Christensen;1;0;0;0;0;1;0;0;0;1.00
andrei;Andrei Ratiu;4;0;0;4;11;17;0;0;1;4.25
lunin;Andrii Lunin;0;0;0;0;1;0;0;0;0;0.00
andre-almeida-1;Domingos André Ribeiro Almeida;1;0;0;2;13;20;0;0;1;20.00
andre-ferreira;André Filipe Magalhães Ribeiro Ferreira;0;0;0;0;0;0;0;0;0;0.00
andres-cuenca;Andrés Cuenca;0;0;0;0;0;0;0;0;0;0.00
andy-pelmard;Andy Pelmard;1;0;0;0;3;2;0;0;0;2.00
ansu-fati;Ansu Fati;1;0;0;1;2;1;0;0;0;1.00
antal-yaakobishvili;Antal Yaakobishvili;0;0;0;0;0;0;0;0;0;0.00
budimir;Ante Budimir;3;0;0;11;20;26;5;0;2;8.67
griezmann;Antoine Griezmann;2;0;0;9;22;10;0;0;1;5.00
antonio-blanco;Antonio Blanco;6;0;0;0;19;41;0;0;1;6.83
antonio-candela;Antonio Candela;0;0;0;0;2;1;0;0;0;0.00
antonio-espigares;Antonio Espigares;0;0;0;0;0;0;0;0;0;0.00
antonio-gomis;Antonio Gomis;0;0;0;0;0;0;0;0;0;0.00
a-raillo;Antonio Raíllo;3;1;0;2;8;32;0;0;1;10.67
antonio-rudiger;Antonio Rüdiger;2;0;0;2;13;11;2;0;0;5.50
sivera;Antonio Sivera;4;0;0;0;4;3;0;3;0;0.75
sanchez;Antonio Sánchez;1;0;0;3;7;14;0;0;1;14.00
antoniu-roca;Antoniu Roca;3;0;0;4;10;11;0;0;0;3.67
antony;Antony Matheus dos Santos;1;1;0;0;4;4;1;0;0;4.00
a-tuhami;Anuar Tuhami;5;0;0;6;29;20;1;0;1;4.00
arda-guler;Arda Güler;1;0;0;4;20;10;0;0;1;10.00
