ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
abdessamad-ezzalzouli;Abde Ezzalzouli;1;31;247;198;49;536;392;9;2;0.02;0.00;0.02;0.00;0.02;0.00;0.00
abderrahman-rebbach;Abde Rebbach;7;3;49;36;13;99;64;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abqar;Abdel Abqar;0;29;167;102;65;780;525;67;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abdoulaye-keita;Abdoulaye Keita;0;2;22;15;7;25;13;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
abdul-mumin;Abdul Mumin;0;37;150;92;58;1054;833;49;0;0.20;0.00;0.20;0.10;0.00;0.10;0.00
abdon;Abdón Prats;0;1;56;23;33;50;32;2;0;0.22;0.00;0.22;0.11;0.00;0.11;0.00
abel-bretones;Abel Bretones;0;35;138;113;25;485;339;22;1;0.29;0.14;0.14;0.29;0.00;0.00;0.00
abel-ruiz;Abel Ruiz;0;4;78;53;25;213;182;7;1;0.25;0.00;0.25;0.00;0.19;0.06;0.00
aboubacar-bassinga;Aboubacar Bassinga;0;0;2;2;0;4;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adam-aznou;Adam Aznou;1;3;18;16;2;18;11;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adama-boiro;Adama Boiro;0;13;65;49;16;230;191;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
januzaj;Adnan Januzaj;17;6;48;40;8;136;103;6;5;0.40;0.20;0.20;0.40;0.00;0.00;0.20
embarba;Adri Embarba;29;28;158;128;30;339;239;16;2;0.06;0.00;0.06;0.00;0.06;0.00;0.00
adria-altimira;Adrià Alti;0;30;125;102;23;330;244;19;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pedrosa-1;Adrià Pedrosa;2;33;150;118;32;567;425;20;1;0.13;0.13;0.00;0.13;0.00;0.00;0.00
adrian-2;Adrián San Miguel del Castillo;0;0;3;1;2;193;102;42;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
arnu;Adrián Arnu;0;0;1;1;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adrian-nino;Adrián Niño;0;0;1;0;1;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
adrian-pica;Adrián Hernández Hernández;0;9;52;24;28;194;132;19;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;4;4;0;8;5;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aihen;Aihen Muñoz;0;11;71;44;27;233;174;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aimar-1;Aimar Oroz;2;23;230;199;31;685;546;29;7;0.11;0.00;0.11;0.05;0.05;0.00;0.00
aingeru-olabarrieta;Aingeru Olabarrieta;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
aitor-gismera;Aitor Gismera;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
paredes-2;Aitor Paredes;0;9;81;36;45;677;518;53;0;0.60;0.00;0.60;0.20;0.00;0.40;0.00
aitor-r;Aitor Ruibal;2;12;70;55;15;225;184;11;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
akor-adams;Akor Adams;0;0;2;0;2;3;2;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alassane-diatta;Alassane Diatta;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;0;18;100;66;34;712;610;31;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alberto-mari;Alberto Marí;0;0;1;1;0;4;2;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
a-moleiro;Alberto Moleiro;1;21;244;222;22;666;547;11;8;0.10;0.00;0.10;0.05;0.03;0.03;0.00
alberto-risco;Alberto Risco;0;4;26;22;4;29;22;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alex-balde;Alejandro Balde;0;12;179;159;20;944;837;17;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
catena;Alejandro Catena;0;33;155;86;69;990;712;91;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
a-frances;Alejandro Francés;0;22;71;60;11;446;359;22;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alejandro-iturbe;Alejandro Iturbe;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alejandro-jay;Alejandro Jay;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alex-padilla;Alejandro Padilla;0;0;2;1;1;105;23;29;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alejo-veliz;Alejo Véliz;0;1;145;57;88;156;98;4;0;0.07;0.00;0.07;0.00;0.07;0.00;0.00
aleksandar-andreev;Aleksandar Andreev;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sedlar;Aleksandar Sedlar;0;15;40;29;11;155;111;11;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alex-almansa;Alex Almansa;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
berenguer;Alex Berenguer;64;19;180;127;53;484;366;13;3;0.16;0.00;0.16;0.10;0.03;0.03;0.00
alex-kral;Alex Král;0;46;218;168;50;651;460;27;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alex-marchal;Alex Marchal;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
alexander-sorloth;Alexander Sørloth;0;5;164;70;94;224;139;3;1;0.32;0.00;0.32;0.14;0.11;0.07;0.00
alfonso-1;Alfon González;0;3;68;61;7;124;92;0;0;0.07;0.00;0.07;0.00;0.07;0.00;0.00
a-espino;Alfonso Espino;0;22;73;62;11;138;87;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
a-pedraza;Alfonso Pedraza;0;0;0;0;0;1;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ali-fadal;Ali Fadal;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nyom;Allan Nyom;0;11;61;43;18;192;146;8;0;0.17;0.00;0.17;0.00;0.17;0.00;0.00
alvaro-abajas;Alvin Abajas;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
amath;Amath Ndiaye;0;1;32;27;5;77;56;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ander-astralaga;Ander Astralaga;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
barrenetxea;Ander Barrenetxea;0;17;131;117;14;314;220;24;1;0.07;0.00;0.07;0.07;0.00;0.00;0.00
guevara;Ander Guevara;0;37;174;124;50;717;521;40;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ander;Ander Herrera;0;8;30;25;5;198;174;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
gorosabel;Andoni Gorosabel;0;22;75;55;20;354;301;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
andreas-christensen;Andreas Christensen;0;0;2;1;1;16;14;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
andrei;Andrei Ratiu;0;48;236;201;35;854;696;23;2;0.08;0.08;0.00;0.00;0.08;0.00;0.00
lunin;Andrii Lunin;0;0;2;1;1;94;60;15;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
andre-almeida-1;Domingos André Ribeiro Almeida;19;31;143;126;17;526;449;15;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
andre-ferreira;André Filipe Magalhães Ribeiro Ferreira;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
andres-cuenca;Andrés Cuenca;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
andy-pelmard;Andy Pelmard;0;5;14;12;2;98;82;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
