ID;Jugador;Equipo;Posicion
adrian-2;Adrián San Miguel del Castillo;Real Betis;Porteros
a-rodriguez-1;Adrián Rodríguez;Deportivo Alavés;Porteros
aitor-fdez;Aitor Fernández;CA Osasuna;Porteros
aitor-fraga;Aitor Fraga;Real Sociedad;Porteros
alberto-flores;Alberto Flores;Sevilla FC;Porteros
alejandro-iturbe;Alejandro Iturbe;Atlético de Madrid;Porteros
alvaro-abajas;Alvin Abajas;CD Leganés;Porteros
ander-astralaga;Ander Astralaga;FC Barcelona;Porteros
lunin;Andrii Lunin;Real Madrid;Porteros
andre-ferreira;André Filipe Magalhães Ribeiro Ferreira;Real Valladolid CF;Porteros
antonio-gomis;Antonio Gomis;Atlético de Madrid;Porteros
sivera;Antonio Sivera;Deportivo Alavés;Porteros
egoitz-arana;Egoitz Arana Aizpurua;Real Sociedad;Porteros
arnau-rafus;Arnau Rafús;Real Valladolid CF;Porteros
augusto-batalla;Augusto Batalla;Rayo Vallecano;Porteros
cesar-gonzalez;César Fernández;RC Celta;Porteros
cardenas;Dani Cárdenas;Rayo Vallecano;Porteros
david-soria;David Soria;Getafe CF;Porteros
diego-conde;Diego Conde;Villarreal CF;Porteros
diego-ferrer;Diego Ferrer;Getafe CF;Porteros
dimitrios-stamatakis;Dimitrios Stamatakis;CA Osasuna;Porteros
dinko-horkas;Dinko Horkas;UD Las Palmas;Porteros
dominik-greif;Dominik Greif;RCD Mallorca;Porteros
pacheco-2;Fernando Pacheco;RCD Espanyol de Barcelona;Porteros
francisco-gonzalez;Francisco Javier González Pérez;Sin equipo;Porteros
f-vieites;Francisco Barbosa Vieites;Real Betis;Porteros
giorgi-mamardashvili;Giorgi Mamardashvili;Valencia CF;Porteros
horatiu-moldovan;Horatiu Moldovan;Sin equipo;Porteros
iker-alvarez;Iker Álvarez;Villarreal B;Porteros
cuellar;Iván Cuéllar;RCD Mallorca;Porteros
ivan-villar;Iván Villar;RC Celta;Porteros
inaki-pena;Ignacio Peña Sotorres;FC Barcelona;Porteros
oblak;Jan Oblak;Atlético de Madrid;Porteros
cillessen;Jasper Cillessen;UD Las Palmas;Porteros
jesus-owono;Jesús Owono;Deportivo Alavés;Porteros
jiri-letacek;Jirí Letácek;Getafe CF;Porteros
j-garcia;Joan García;RCD Espanyol de Barcelona;Porteros
juan-carlos-1;Juan Carlos Martín Corral;Girona FC;Porteros
juan-musso;Juan Musso;Sin equipo;Porteros
juan-soriano;Juan Soriano;CD Leganés;Porteros
julen-agirrezabala;Julen Agirrezabala;Athletic Club;Porteros
karl-hein;Karl Hein;Real Valladolid CF;Porteros
leo-1;Leo Román;RCD Mallorca;Porteros
luiz-junior-1;Luiz Lúcio Reis Júnior;Villarreal CF;Porteros
manu-gonzalez;Manu González;Real Betis;Porteros
marc-vidal;Marc Vidal;RC Celta;Porteros
ter-stegen;Marc-André ter Stegen;FC Barcelona;Porteros
dmitrovic;Marko Dmitrovic;CD Leganés;Porteros
matias-arbol;Matías Árbol;Sevilla FC;Porteros
m-morro;Miguel Ángel Morro;Sin equipo;Porteros
oier-gastesi;Oier Gastesi;Athletic Club;Porteros
pau-lopez;Pau López;Girona FC;Porteros
paulo-gazzaniga;Paulo Gazzaniga;Girona FC;Porteros
raul-jimenez-1;Raúl Jiménez;Valencia CF;Porteros
rui-silva;Rui Tiago Dantas da Silva;Real Betis;Porteros
s-herrera;Sergio Herrera;CA Osasuna;Porteros
dimitrievski;Stole Dimitrievski;Valencia CF;Porteros
courtois;Thibaut Courtois;Real Madrid;Porteros
marrero;Unai Marrero;Real Sociedad;Porteros
guaita;Vicente Guaita;RC Celta;Porteros
victor-puig;Víctor Puig;Sin equipo;Porteros
alex-padilla;Alejandro Padilla Pérez;Athletic Club;Porteros
a-remiro;Álex Remiro;Real Sociedad;Porteros
alvaro-fernandez;Álvaro Fernández;Sevilla FC;Porteros
alvaro-killane;Álvaro Killane;UD Las Palmas;Porteros
angel-f;Ángel Fortuño;RCD Espanyol de Barcelona;Porteros
orjan-nyland;Ørjan Nyland;Sevilla FC;Porteros
abqar;Abdel Abqar;Deportivo Alavés;Defensas
abdul-mumin;Abdul Mumin;Rayo Vallecano;Defensas
adama-boiro;Adama Boiro;Athletic Club;Defensas
adria-altimira;Adrià Alti;CD Leganés;Defensas
pedrosa-1;Adrià Pedrosa;Sevilla FC;Defensas
adrian-pica;Adrián Hernández Hernández;Deportivo Alavés;Defensas
aihen;Aihen Muñoz;Real Sociedad;Defensas
paredes-2;Aitor Paredes;Athletic Club;Defensas
aitor-r;Aitor Ruibal;Real Betis;Defensas
alex-balde;Alejandro Balde;FC Barcelona;Defensas
catena;Alejandro Catena;CA Osasuna;Defensas
a-frances;Alejandro Francés;Girona FC;Defensas
sedlar;Aleksandar Sedlar;Deportivo Alavés;Defensas
a-espino;Alfonso Espino;Rayo Vallecano;Defensas
gorosabel;Andoni Gorosabel;Athletic Club;Defensas
andreas-christensen;Andreas Christensen;FC Barcelona;Defensas
andrei;Andrei Ratiu;Rayo Vallecano;Defensas
andres-cuenca;Andrés Cuenca;FC Barcelona;Defensas
antonio-espigares;Antonio Espigares;Villarreal CF;Defensas
a-raillo;Antonio Raíllo;RCD Mallorca;Defensas
antonio-rudiger;Antonio Rüdiger;Real Madrid;Defensas
aridane-1;Aridane Hernández;Rayo Vallecano;Defensas
arambarri-1;Aritz Arambarri;SD Eibar;Defensas
aritz;Aritz Elustondo;Real Sociedad;Defensas
arnau-1;Arnau Martínez;Girona FC;Defensas
arnau-sola;Arnau Solà;Villarreal CF;Defensas
axel-witsel;Axel Witsel;Atlético de Madrid;Defensas
benat-prados;Beñat Prados;Athletic Club;Defensas
b-olivan;Brian Oliván;RCD Espanyol de Barcelona;Defensas
carl-starfelt;Carl Starfelt;RC Celta;Defensas
c-dominguez;Carlos Domínguez;RC Celta;Defensas
carlos-romero;Carlos Romero;RCD Espanyol de Barcelona;Defensas
catala;José Luis Català Vázquez;RCD Espanyol de Barcelona;Defensas
cenk-ozkacar;Cenk Özkacar;Real Valladolid CF;Defensas
lenglet;Clément Lenglet;Atlético de Madrid;Defensas
copete;José Manuel Arias Copete;RCD Mallorca;Defensas
cristhian-mosquera;Cristhian Mosquera;Valencia CF;Defensas
cesar-azpilicueta;César Azpilicueta;Atlético de Madrid;Defensas
cesar-tarrega;César Tárrega;Valencia CF;Defensas
daley-blind;Daley Blind;Girona FC;Defensas
daley-sinkgraven;Daley Sinkgraven;UD Las Palmas;Defensas
carvajal;Dani Carvajal;Real Madrid;Defensas
vivian;Dani Vivian;Athletic Club;Defensas
david-lopez;David López;Girona FC;Defensas
david-torres-1;David Torres;Real Valladolid CF;Defensas
llorente-r;Diego Llorente;Real Betis;Defensas
rico;Diego Rico;Getafe CF;Defensas
foulquier;Dimitri Foulquier;Valencia CF;Defensas
djene;Djené Dakonam;Getafe CF;Defensas
domingos-d;Domingos de Sousa Coutinho Meneses Duarte;Getafe CF;Defensas
eneko-ortiz;Eneko Ortiz;Deportivo Alavés;Defensas
franquesa;Enric Franquesa;CD Leganés;Defensas
boyomo;Enzo Boyomo;CA Osasuna;Defensas
eray-ervin-cumart;Eray Cömert;Real Valladolid CF;Defensas
eric-bailly;Eric Bailly;Villarreal CF;Defensas
eric-garcia;Eric García;FC Barcelona;Defensas
f-mendy;Ferland Mendy;Real Madrid;Defensas
calero;Fernando Calero;RCD Espanyol de Barcelona;Defensas
lejeune;Florian Lejeune;Rayo Vallecano;Defensas
fran-garcia-1;Fran García;Real Madrid;Defensas
gerard-2;Gerard Martín;FC Barcelona;Defensas
gonzalo-montiel;Gonzalo Montiel;Sevilla FC;Defensas
gorka-rivera;Gorka Rivera;Getafe CF;Defensas
hamari-traore;Hamari Traoré;Real Sociedad;Defensas
hugo-g;Hugo Guillamón;Valencia CF;Defensas
hector-bellerin;Héctor Bellerín;Real Betis;Defensas
hector-fort;Héctor Fort;FC Barcelona;Defensas
zubeldia;Igor Zubeldia;Real Sociedad;Defensas
iker-cordoba;Iker Córdoba;Valencia CF;Defensas
ilias-kostis;Ilias Kostis;Atlético de Madrid;Defensas
balliu;Iván Balliu;Rayo Vallecano;Defensas
i-martinez;Íñigo Martínez;FC Barcelona;Defensas
jackson-porozo;Jackson Porozo;CD Leganés;Defensas
jacobo-ramon;Jacobo Ramón;Real Madrid;Defensas
javi-galan;Javi Galán;Atlético de Madrid;Defensas
javi-hdez;Javi Hernández;CD Leganés;Defensas
javi-lopez-4;Javi López;Real Sociedad;Defensas
javi-sanchez-1;Javi Sánchez de Felipe;Real Valladolid CF;Defensas
manquillo;Javier Manquillo;RC Celta;Defensas
javier-rodriguez-1;Javier Rodríguez;RC Celta;Defensas
areso;Jesús Areso;CA Osasuna;Defensas
j-navas;Jesús Navas;Sevilla FC;Defensas
vallejo;Jesús Vallejo;Real Madrid;Defensas
j-vazquez-1;Jesús Vázquez;Valencia CF;Defensas
j-mojica;Johan Mojica;RCD Mallorca;Defensas
jon-aramburu;Jon Aramburu;Real Sociedad;Defensas
jon-martin;Jon Martín;Real Sociedad;Defensas
pacheco-3;Jon Pacheco;Real Sociedad;Defensas
herrando;Jorge Herrando;CA Osasuna;Defensas
jorge-saenz;Jorge Sáenz;CD Leganés;Defensas
aidoo-jr;Joseph Aidoo;RC Celta;Defensas
j-m-gimenez;José Giménez;Atlético de Madrid;Defensas
jose-angel-carmona;José Ángel Carmona;Sevilla FC;Defensas
joao-urbaez;João Urbáez;CD Leganés;Defensas
juan-bernat;Juan Bernat;Sin equipo;Defensas
j-berrocal;Juan Berrocal;Getafe CF;Defensas
juan-cruz-1;Juan Cruz Álvaro Armada;CA Osasuna;Defensas
juan-herzog;Juan Herzog;UD Las Palmas;Defensas
iglesias;Juan Iglesias;Getafe CF;Defensas
juanpe-rl;Juan Pedro Ramírez López;Girona FC;Defensas
kounde;Jules Koundé;FC Barcelona;Defensas
kike-salas;Kike Salas;Sevilla FC;Defensas
kiko-femenia;Kiko Femenía;Villarreal CF;Defensas
koke-5;Jorge Iglesias González;Real Valladolid CF;Defensas
ladislav-krejci-ii;Ladislav Krejcí;Girona FC;Defensas
gonzalo-aguilar;Lalo Aguilar;Albacete BP;Defensas
cabrera;Leandro Cabrera;RCD Espanyol de Barcelona;Defensas
logan-costa;Logan Evans Costa;Villarreal CF;Defensas
loic-bade;Loïc Badé;Sevilla FC;Defensas
lucas-alcazar-moreno;Lucas Alcázar;Real Betis;Defensas
lucas-rosa;Lucas Oliveira Rosa;Real Valladolid CF;Defensas
l-perez;Luis Pérez;Real Valladolid CF;Defensas
m-sanchez;Manu Sánchez;Deportivo Alavés;Defensas
marash-kumbulla;Marash Kumbulla;RCD Espanyol de Barcelona;Defensas
bartra;Marc Bartra;Real Betis;Defensas
marco-de-las-sias;Marco de Las Sias;Rayo Vallecano;Defensas
marcao;Marcos do Nascimento Teixeira;Sevilla FC;Defensas
valjent;Martin Valjent;RCD Mallorca;Defensas
