ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
abdessamad-ezzalzouli;Abde Ezzalzouli;0;9;27;23;4;51;41;0;0;000;000;000;000;000;000;000
abderrahman-rebbach;Abde Rebbach;2;0;10;7;3;10;8;1;0;000;000;000;000;000;000;000
abqar;Abdel Abqar;0;5;25;22;3;119;72;11;0;000;000;000;000;000;000;000
abdul-mumin;Abdul Mumin;0;5;22;10;12;136;99;7;0;000;000;000;000;000;000;000
abdon;Abdon Prats;0;0;6;1;5;1;1;0;0;000;000;000;000;000;000;000
abel-bretones;Abel Bretones;0;7;21;17;4;86;55;6;0;100;000;100;100;000;000;000
abel-ruiz;Abel Ruiz;0;0;23;16;7;74;63;2;0;025;000;025;000;025;000;000
aboubacar-bassinga;Aboubacar Bassinga;0;0;2;2;0;4;1;1;1;000;000;000;000;000;000;000
adama-boiro;Adama Boiro;0;2;13;7;6;25;19;0;0;000;000;000;000;000;000;000
embarba;Adri Embarba;13;7;40;32;8;74;44;4;1;000;000;000;000;000;000;000
adria-altimira;Adria Alti;0;2;13;9;4;27;21;2;0;000;000;000;000;000;000;000
pedrosa-1;Adria Pedrosa;0;4;26;18;8;130;99;7;0;000;000;000;000;000;000;000
adrian-2;Adrian San Miguel del Castillo;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
adrian-pica;Adrian Hernandez Hernandez;0;1;12;5;7;38;27;3;0;000;000;000;000;000;000;000
a-rodriguez-1;Adrian Rodriguez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
malcom-adu-ares;Malcom Abdulai Ares Djalo;0;0;4;4;0;8;5;0;0;000;000;000;000;000;000;000
aihen;Aihen Munoz;0;1;6;4;2;1;1;0;0;000;000;000;000;000;000;000
aimar-1;Aimar Oroz;0;8;42;34;8;114;95;8;0;000;000;000;000;000;000;000
aitor-fdez;Aitor Fernandez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
paredes-2;Aitor Paredes;0;0;6;3;3;56;44;5;0;000;000;000;000;000;000;000
aitor-r;Aitor Ruibal;0;2;18;15;3;40;31;0;0;000;000;000;000;000;000;000
