ID;Jugador;Equipo;Posicion
adrian-2;Adrian San Miguel del Castillo;Real Betis;Porteros
a-rodriguez-1;Adrian Rodriguez;Deportivo Alaves;Porteros
aitor-fdez;Aitor Fernandez;CA Osasuna;Porteros
aitor-fraga;Aitor Fraga;Real Sociedad;Porteros
alberto-flores;Alberto Flores;Sevilla FC;Porteros
alejandro-iturbe;Alejandro Iturbe;Atletico de Madrid;Porteros
alvaro-abajas;Alvin Abajas;CD Leganes;Porteros
ander-astralaga;Ander Astralaga;FC Barcelona;Porteros
lunin;Andrii Lunin;Real Madrid;Porteros
andre-ferreira;Andre Filipe Magalhaes Ribeiro Ferreira;Real Valladolid CF;Porteros
antonio-gomis;Antonio Gomis;Atletico de Madrid;Porteros
sivera;Antonio Sivera;Deportivo Alaves;Porteros
egoitz-arana;Egoitz Arana Aizpurua;Real Sociedad;Porteros
arnau-rafus;Arnau Rafus;Real Valladolid CF;Porteros
augusto-batalla;Augusto Batalla;Rayo Vallecano;Porteros
cesar-gonzalez;Cesar Fernandez;RC Celta;Porteros
cardenas;Dani Cardenas;Rayo Vallecano;Porteros
david-soria;David Soria;Getafe CF;Porteros
diego-conde;Diego Conde;Villarreal CF;Porteros
diego-ferrer;Diego Ferrer;Getafe CF;Porteros
dimitrios-stamatakis;Dimitrios Stamatakis;CA Osasuna;Porteros
dinko-horkas;Dinko Horkas;UD Las Palmas;Porteros
dominik-greif;Dominik Greif;RCD Mallorca;Porteros
pacheco-2;Fernando Pacheco;RCD Espanyol de Barcelona;Porteros
francisco-gonzalez;Francisco Javier Gonzalez Perez;Sin equipo;Porteros
f-vieites;Francisco Barbosa Vieites;Real Betis;Porteros
giorgi-mamardashvili;Giorgi Mamardashvili;Valencia CF;Porteros
horatiu-moldovan;Horatiu Moldovan;Sin equipo;Porteros
iker-alvarez;Iker Alvarez;Villarreal B;Porteros
cuellar;Ivan Cuellar;RCD Mallorca;Porteros
ivan-villar;Ivan Villar;RC Celta;Porteros
inaki-pena;Ignacio Pena Sotorres;FC Barcelona;Porteros
oblak;Jan Oblak;Atletico de Madrid;Porteros
cillessen;Jasper Cillessen;UD Las Palmas;Porteros
jesus-owono;Jesus Owono;Deportivo Alaves;Porteros
jiri-letacek;Jiri Letacek;Getafe CF;Porteros
j-garcia;Joan Garcia;RCD Espanyol de Barcelona;Porteros
juan-carlos-1;Juan Carlos Martin Corral;Girona FC;Porteros
juan-musso;Juan Musso;Sin equipo;Porteros
juan-soriano;Juan Soriano;CD Leganes;Porteros
julen-agirrezabala;Julen Agirrezabala;Athletic Club;Porteros
karl-hein;Karl Hein;Real Valladolid CF;Porteros
leo-1;Leo Roman;RCD Mallorca;Porteros
luiz-junior-1;Luiz Lucio Reis Junior;Villarreal CF;Porteros
manu-gonzalez;Manu Gonzalez;Real Betis;Porteros
marc-vidal;Marc Vidal;RC Celta;Porteros
ter-stegen;Marc-Andre ter Stegen;FC Barcelona;Porteros
dmitrovic;Marko Dmitrovic;CD Leganes;Porteros
matias-arbol;Matias Arbol;Sevilla FC;Porteros
m-morro;Miguel Angel Morro;Sin equipo;Porteros
oier-gastesi;Oier Gastesi;Athletic Club;Porteros
pau-lopez;Pau Lopez;Girona FC;Porteros
paulo-gazzaniga;Paulo Gazzaniga;Girona FC;Porteros
raul-jimenez-1;Raul Jimenez;Valencia CF;Porteros
rui-silva;Rui Tiago Dantas da Silva;Real Betis;Porteros
s-herrera;Sergio Herrera;CA Osasuna;Porteros
dimitrievski;Stole Dimitrievski;Valencia CF;Porteros
courtois;Thibaut Courtois;Real Madrid;Porteros
marrero;Unai Marrero;Real Sociedad;Porteros
guaita;Vicente Guaita;RC Celta;Porteros
victor-puig;Victor Puig;Sin equipo;Porteros
alex-padilla;Alejandro Padilla Perez;Athletic Club;Porteros
a-remiro;Alex Remiro;Real Sociedad;Porteros
alvaro-fernandez;Alvaro Fernandez;Sevilla FC;Porteros
alvaro-killane;Alvaro Killane;UD Las Palmas;Porteros
angel-f;Angel Fortuno;RCD Espanyol de Barcelona;Porteros
orjan-nyland;Ørjan Nyland;Sevilla FC;Porteros
abqar;Abdel Abqar;Deportivo Alaves;Defensas
abdul-mumin;Abdul Mumin;Rayo Vallecano;Defensas
adama-boiro;Adama Boiro;Athletic Club;Defensas
adria-altimira;Adria Alti;CD Leganes;Defensas
pedrosa-1;Adria Pedrosa;Sevilla FC;Defensas
adrian-pica;Adrian Hernandez Hernandez;Deportivo Alaves;Defensas
aihen;Aihen Munoz;Real Sociedad;Defensas
paredes-2;Aitor Paredes;Athletic Club;Defensas
aitor-r;Aitor Ruibal;Real Betis;Defensas
alex-balde;Alejandro Balde;FC Barcelona;Defensas
catena;Alejandro Catena;CA Osasuna;Defensas
a-frances;Alejandro Frances;Girona FC;Defensas
